owner,repo,full_name,input_language,input_license_family,input_spdx,input_stars,api_status,api_html_url,api_license_spdx,api_license_name,api_license_key,api_license_family,api_stars,api_archived,api_disabled,api_created_at,api_updated_at,api_pushed_at,api_default_branch,api_latest_commit_sha
XiovV,Golty,XiovV/Golty,Go,copyleft,,,ok,https://github.com/XiovV/Golty,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,273,False,False,2019-11-02T16:05:01Z,2025-08-21T20:29:46Z,2025-01-22T05:21:23Z,master,b662cb59baeb4818744f6255ddbea07c56265fd9
varundhall,MajorProject-SecureCloud,varundhall/MajorProject-SecureCloud,Java,copyleft,,,ok,https://github.com/varundhall/MajorProject-SecureCloud,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,64,False,False,2016-11-11T18:54:48Z,2025-07-17T14:42:14Z,2017-04-11T20:40:14Z,master,ea508d0d04220c2b264a9f2f00c30840377629c7
IeiuniumLux,AAV,IeiuniumLux/AAV,Java,copyleft,,,ok,https://github.com/IeiuniumLux/AAV,GPL-2.0,GNU General Public License v2.0,gpl-2.0,Copyleft,95,False,False,2014-04-12T21:50:10Z,2025-08-13T11:11:49Z,2019-04-03T05:52:34Z,master,1a94b775d42f0730bd042368bd1139b408a69b60
tntim96,JSCover,tntim96/JSCover,Java,copyleft,,,ok,https://github.com/tntim96/JSCover,GPL-2.0,GNU General Public License v2.0,gpl-2.0,Copyleft,400,False,False,2012-10-01T04:06:50Z,2025-08-19T10:46:18Z,2025-08-19T10:46:14Z,master,21dbb65efec8cfb18bad9ebdab53b928df6428ce
Helium314,HeliBoard,Helium314/HeliBoard,Java,copyleft,,,ok,https://github.com/Helium314/HeliBoard,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,3724,False,False,2022-03-09T08:38:32Z,2025-08-27T10:49:12Z,2025-08-19T20:10:35Z,main,1d8d0d640e0f3c8fb8cf257d114998478ae6c59c
Fmstrat,odm,Fmstrat/odm,Java,copyleft,,,ok,https://github.com/Fmstrat/odm,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,114,False,False,2014-01-07T20:17:35Z,2025-06-19T08:07:07Z,2018-03-20T19:13:53Z,master,0f54dc5548b452251ce80a0da17bcc12e8f215ce
trol73,mucommander,trol73/mucommander,Java,copyleft,,,ok,https://github.com/trol73/mucommander,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,185,False,False,2013-12-21T05:40:19Z,2025-08-13T07:41:14Z,2025-06-06T18:50:08Z,develop,69749d6456243fb8b853aab98da44a29e3b31255
JannsenYang,dingdong-helper,JannsenYang/dingdong-helper,Java,copyleft,,,ok,https://github.com/JannsenYang/dingdong-helper,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,1301,False,False,2022-04-09T12:34:29Z,2025-08-13T11:23:43Z,2022-05-14T23:45:31Z,main,843fe72cec228f120152f5e1eab27de56bea7203
seleuco,MAME4droid-Current,seleuco/MAME4droid-Current,Java,copyleft,,,ok,https://github.com/seleuco/MAME4droid-Current,GPL-2.0,GNU General Public License v2.0,gpl-2.0,Copyleft,245,False,False,2023-12-18T11:16:18Z,2025-08-26T00:49:10Z,2025-08-04T09:13:54Z,main,363b61c9c6950875645fcc31c763b8a05c06939d
xuxueli,xxl-boot,xuxueli/xxl-boot,Java,copyleft,,,ok,https://github.com/xuxueli/xxl-boot,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,336,False,False,2018-05-02T11:27:25Z,2025-08-27T09:23:08Z,2025-08-24T08:17:16Z,master,485ccf0af330be268154a10b47ab139de57ec848
kbastani,spring-cloud-microservice-example,kbastani/spring-cloud-microservice-example,Java,copyleft,,,ok,https://github.com/kbastani/spring-cloud-microservice-example,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,193,False,False,2015-05-20T02:00:45Z,2025-08-07T07:26:57Z,2020-07-09T17:08:51Z,master,212d0faef62615d18f584e304b7e21d385d50c74
jawg,osm-contributor,jawg/osm-contributor,Java,copyleft,,,ok,https://github.com/jawg/osm-contributor,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,74,False,False,2015-09-25T13:12:31Z,2025-08-13T11:14:00Z,2023-10-31T19:42:23Z,master,e111e772abf9c88bbc154c2ee9fb4e413fe23365
MEEPofFaith,prog-mats-java,MEEPofFaith/prog-mats-java,Java,copyleft,,,ok,https://github.com/MEEPofFaith/prog-mats-java,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,81,False,False,2021-08-19T02:43:09Z,2025-07-29T14:47:36Z,2025-06-03T00:12:08Z,erekir,70d07495869c89024b0401c734935712f84e4e2a
payatu,diva-android,payatu/diva-android,Java,copyleft,,,ok,https://github.com/payatu/diva-android,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,1034,False,False,2016-01-15T07:26:48Z,2025-08-25T16:33:04Z,2023-05-19T21:04:24Z,master,2bb63b531ba66c22563ac0911973389e2a0cb723
dromara,fast-request,dromara/fast-request,Java,copyleft,,,ok,https://github.com/dromara/fast-request,AGPL-3.0,GNU Affero General Public License v3.0,agpl-3.0,Copyleft,508,False,False,2021-06-10T03:53:55Z,2025-08-22T06:39:44Z,2025-08-22T06:40:22Z,master,457d740b7b53750491ff5f79e8568f4c02937b96
Traben-0,Entity_Texture_Features,Traben-0/Entity_Texture_Features,Java,copyleft,,,ok,https://github.com/Traben-0/Entity_Texture_Features,LGPL-3.0,GNU Lesser General Public License v3.0,lgpl-3.0,Weak-copyleft,150,False,False,2022-01-17T03:36:58Z,2025-08-25T04:00:01Z,2025-08-25T03:59:57Z,ETF-Main,d17de9419c0487505eb3ea71868bcc9fabd4ef48
ucchyocean,LunaChat,ucchyocean/LunaChat,Java,copyleft,,,ok,https://github.com/ucchyocean/LunaChat,LGPL-3.0,GNU Lesser General Public License v3.0,lgpl-3.0,Weak-copyleft,77,False,False,2013-04-21T15:08:01Z,2025-08-17T12:59:08Z,2025-07-12T01:07:57Z,master,f8bf6e036354a0f04f23059ba6de8da6e9a9fca0
arsLan4k1390,Cherrygram,arsLan4k1390/Cherrygram,Java,copyleft,,,ok,https://github.com/arsLan4k1390/Cherrygram,GPL-2.0,GNU General Public License v2.0,gpl-2.0,Copyleft,966,False,False,2022-04-25T14:07:00Z,2025-08-25T16:12:02Z,2025-08-18T06:38:33Z,main,c5065f60721c6b8a2b43681a3f3a9bee6cad5a8c
legaoyi,JT808,legaoyi/JT808,Java,copyleft,,,ok,https://github.com/legaoyi/JT808,LGPL-3.0,GNU Lesser General Public License v3.0,lgpl-3.0,Weak-copyleft,108,False,False,2019-08-18T14:39:53Z,2025-08-19T01:51:37Z,2024-12-26T16:00:40Z,master,337ff92d07ba59b773f1e2168e92eaaa047c9692
ArtOfIllusion,ArtOfIllusion,ArtOfIllusion/ArtOfIllusion,Java,copyleft,,,ok,https://github.com/ArtOfIllusion/ArtOfIllusion,GPL-2.0,GNU General Public License v2.0,gpl-2.0,Copyleft,76,False,False,2016-09-06T03:33:07Z,2025-08-23T05:36:58Z,2024-07-15T07:18:59Z,master,2d66694e95fec8d8d0c38c01505c24ad1df821b1
scm-manager,scm-manager,scm-manager/scm-manager,Java,copyleft,,,ok,https://github.com/scm-manager/scm-manager,AGPL-3.0,GNU Affero General Public License v3.0,agpl-3.0,Copyleft,148,False,False,2020-03-09T06:57:28Z,2025-08-26T11:58:40Z,2025-08-26T11:58:36Z,develop,cc54f35860a6f96b429db70c0ba502d1f0c6629e
ZCShou,GoGoGo,ZCShou/GoGoGo,Java,copyleft,,,ok,https://github.com/ZCShou/GoGoGo,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,8276,False,False,2021-12-03T06:59:39Z,2025-08-27T14:49:42Z,2025-08-26T08:35:58Z,master,6bcba42057f824db95143af6809543e2d70b6595
JDiscordBots,Me-e--bypasser,JDiscordBots/Me-e--bypasser,Java,copyleft,,,ok,https://github.com/JDiscordBots/Me-e--bypasser,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,78,False,False,2019-09-16T14:57:35Z,2025-08-13T11:20:45Z,2024-05-08T21:11:52Z,master,ca7b99ef2eda93b08fd22ccee30d4a3531873183
niks255,FairEmail,niks255/FairEmail,Java,copyleft,,,ok,https://github.com/niks255/FairEmail,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,60,False,False,2020-01-10T19:34:12Z,2025-08-13T11:21:12Z,2025-08-13T10:25:04Z,master,bb413af0bf2a026a8afa1c6dccb8930db76ede31
TerraformersMC,Traverse,TerraformersMC/Traverse,Java,copyleft,,,ok,https://github.com/TerraformersMC/Traverse,LGPL-3.0,GNU Lesser General Public License v3.0,lgpl-3.0,Weak-copyleft,149,False,False,2019-06-26T00:36:59Z,2025-06-29T00:19:05Z,2025-06-29T00:19:02Z,1.21.6,9e4cdf4477859e484eca0493f4bf98dce697e6c3
yuenci,Java-Car-Rental-System,yuenci/Java-Car-Rental-System,Java,copyleft,,,ok,https://github.com/yuenci/Java-Car-Rental-System,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,54,False,False,2022-10-28T12:52:42Z,2025-08-25T02:54:42Z,2023-05-15T00:26:00Z,master,0632522f889049d4c5fa424ddf176d8691fab7c5
mrbuilder1961,ChatPatches,mrbuilder1961/ChatPatches,Java,copyleft,,,ok,https://github.com/mrbuilder1961/ChatPatches,LGPL-3.0,GNU Lesser General Public License v3.0,lgpl-3.0,Weak-copyleft,57,False,False,2021-12-23T19:25:06Z,2025-08-24T20:44:17Z,2025-08-24T20:44:13Z,omnivers,b455282b42dca4224dab1ae54e24ac2aa6c1275f
God-Weapon,EmuLinkerSF,God-Weapon/EmuLinkerSF,Java,copyleft,,,ok,https://github.com/God-Weapon/EmuLinkerSF,GPL-2.0,GNU General Public License v2.0,gpl-2.0,Copyleft,55,False,False,2019-08-21T17:06:11Z,2025-08-23T15:40:26Z,2023-01-22T15:51:00Z,master,a97662d54f5e44a222c891998c30988cef15742d
exteraSquad,exteraGram,exteraSquad/exteraGram,Java,copyleft,,,ok,https://github.com/exteraSquad/exteraGram,GPL-2.0,GNU General Public License v2.0,gpl-2.0,Copyleft,1151,False,False,2021-11-23T18:16:11Z,2025-08-27T14:28:44Z,2025-01-03T14:42:53Z,main,6f78031aafd7f27e0dfaa31a207715569a6df1a2
Glamdring,computoser,Glamdring/computoser,Java,copyleft,,,ok,https://github.com/Glamdring/computoser,AGPL-3.0,GNU Affero General Public License v3.0,agpl-3.0,Copyleft,156,False,False,2014-08-17T10:21:54Z,2025-07-10T14:59:19Z,2023-12-16T06:20:14Z,master,94b518cc46d672ee062532befd180f2105f0f248
guardianproject,PixelKnot,guardianproject/PixelKnot,Java,copyleft,,,ok,https://github.com/guardianproject/PixelKnot,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,208,False,False,2012-12-08T22:45:28Z,2025-08-19T15:19:06Z,2024-03-06T21:01:55Z,master,1a4cd710ad1c8e67b76fe654fea2320dfb846f15
siteboon,claudecodeui,siteboon/claudecodeui,JavaScript,copyleft,,,ok,https://github.com/siteboon/claudecodeui,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,3485,False,False,2025-06-25T12:51:12Z,2025-08-27T14:45:11Z,2025-08-15T21:18:21Z,main,c1e7bb6c10e6c3423f88d7c18e1fac7b714c1414
cmliu,CF-Workers-Raw,cmliu/CF-Workers-Raw,JavaScript,copyleft,,,ok,https://github.com/cmliu/CF-Workers-Raw,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,730,False,False,2024-06-03T14:18:42Z,2025-08-27T15:15:55Z,2025-08-26T14:13:49Z,main,2ebdf871b8611eecf2790f85bf626ae5f3388fd2
JPressProjects,jpress,JPressProjects/jpress,JavaScript,copyleft,,,ok,https://github.com/JPressProjects/jpress,LGPL-3.0,GNU Lesser General Public License v3.0,lgpl-3.0,Weak-copyleft,2715,False,False,2016-03-26T04:34:41Z,2025-08-24T08:37:51Z,2024-11-28T06:47:02Z,v5.x,9902ee392656f8c5939d48f9c1c2d809e25a4ea1
siteserver,cms,siteserver/cms,JavaScript,copyleft,,,ok,https://github.com/siteserver/cms,AGPL-3.0,GNU Affero General Public License v3.0,agpl-3.0,Copyleft,3863,False,False,2017-04-26T06:56:34Z,2025-08-26T03:24:05Z,2025-08-26T18:41:18Z,master,3c49ed37d2bb4ea1028feb7461cb38a2fab1bff1
libnoname,noname,libnoname/noname,JavaScript,copyleft,,,ok,https://github.com/libnoname/noname,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,3764,False,False,2013-11-21T05:10:02Z,2025-08-27T14:44:17Z,2025-08-25T11:35:38Z,master,73e8684b72c93cf844173dcf9dd7bea70678964f
papersgpt,papersgpt-for-zotero,papersgpt/papersgpt-for-zotero,JavaScript,copyleft,,,ok,https://github.com/papersgpt/papersgpt-for-zotero,AGPL-3.0,GNU Affero General Public License v3.0,agpl-3.0,Copyleft,1840,False,False,2024-11-22T03:03:59Z,2025-08-26T21:17:35Z,2025-08-24T08:28:00Z,main,049a2830949a3661db0b10cae8ad6be0a9a1e82d
chindaronit,Flux,chindaronit/Flux,Kotlin,copyleft,,,ok,https://github.com/chindaronit/Flux,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,53,False,False,2025-06-06T16:41:38Z,2025-08-26T14:27:32Z,2025-08-24T16:12:20Z,master,0169ed55e3a5a972a398b0081eb969d6a06506c4
hosizoraru,StarVoyager,hosizoraru/StarVoyager,Kotlin,copyleft,,,ok,https://github.com/hosizoraru/StarVoyager,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,238,False,False,2023-05-16T10:22:05Z,2025-08-25T08:27:48Z,2024-07-25T14:49:14Z,star,53d65ddab2129f617078a9d056c9e1f68bba535b
dima74,intellij-indent-rainbow,dima74/intellij-indent-rainbow,Kotlin,copyleft,,,ok,https://github.com/dima74/intellij-indent-rainbow,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,67,False,False,2019-09-12T17:04:19Z,2025-07-27T10:14:09Z,2025-06-02T15:49:16Z,master,4bba7d591902a6bb336ce3333b1661d268d6fbab
hegocre,NextcloudPasswords,hegocre/NextcloudPasswords,Kotlin,copyleft,,,ok,https://github.com/hegocre/NextcloudPasswords,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,62,False,False,2022-02-09T13:06:17Z,2025-08-27T09:44:38Z,2025-08-25T18:27:48Z,main,947361fa03c83ef185b36f816c416caa7c776d19
felipebz,zpa,felipebz/zpa,Kotlin,copyleft,,,ok,https://github.com/felipebz/zpa,LGPL-3.0,GNU Lesser General Public License v3.0,lgpl-3.0,Weak-copyleft,229,False,False,2015-05-30T00:50:36Z,2025-08-27T12:07:23Z,2025-08-25T02:31:16Z,main,691f3c26620c4084d7c1207ce37a59f9f0a5ea35
Avanatiker,WorldTools,Avanatiker/WorldTools,Kotlin,copyleft,,,ok,https://github.com/Avanatiker/WorldTools,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,140,False,False,2023-08-31T21:13:23Z,2025-08-17T16:59:40Z,2025-08-25T15:28:52Z,1.21.4,f82b7415c5a5fab619cc8f537f36defdea09c546
timer-machine,timer-machine-android,timer-machine/timer-machine-android,Kotlin,copyleft,,,ok,https://github.com/timer-machine/timer-machine-android,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,273,False,False,2021-10-03T10:46:02Z,2025-08-21T12:03:01Z,2025-08-17T08:09:40Z,develop,d73c8775f1ff0ba88814791be58966e3e37d5bd1
jonathanklee,Sapio,jonathanklee/Sapio,Kotlin,copyleft,,,ok,https://github.com/jonathanklee/Sapio,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,148,False,False,2022-06-06T17:39:38Z,2025-08-19T21:31:36Z,2025-07-31T17:03:19Z,main,a78f545a86ca9180d34c4618683d39380e0466d1
FOGProject,fogproject,FOGProject/fogproject,PHP,copyleft,,,ok,https://github.com/FOGProject/fogproject,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,1362,False,False,2014-04-15T18:28:09Z,2025-08-27T13:49:49Z,2025-08-27T09:50:27Z,stable,8af159d791d347fa2fbc6eae7501b54dd5e99e0c
nextcloud,recognize,nextcloud/recognize,PHP,copyleft,,,ok,https://github.com/nextcloud/recognize,AGPL-3.0,GNU Affero General Public License v3.0,agpl-3.0,Copyleft,630,False,False,2021-04-22T14:10:46Z,2025-08-27T01:31:21Z,2025-08-27T01:31:17Z,main,73969e8a1a50d330a6c7745c02a56b3fa8e13a38
MortyFx,speedtest-x,MortyFx/speedtest-x,PHP,copyleft,,,ok,https://github.com/MortyFx/speedtest-x,LGPL-2.1,GNU Lesser General Public License v2.1,lgpl-2.1,Weak-copyleft,1888,False,False,2020-11-13T14:24:15Z,2025-08-27T06:46:18Z,2025-03-23T04:25:22Z,master,dd8bbe1080cdfb960307540cff47e76080e4083e
UnaPibaGeek,ctfr,UnaPibaGeek/ctfr,Python,copyleft,,,ok,https://github.com/UnaPibaGeek/ctfr,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,2054,False,False,2018-03-06T01:14:28Z,2025-08-26T11:16:24Z,2024-01-02T17:19:37Z,master,6c7fecdc6346c4f5322049e38f415d5bddaa420d
RareDevs,Rare,RareDevs/Rare,Python,copyleft,,,ok,https://github.com/RareDevs/Rare,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,784,False,False,2020-11-06T17:23:00Z,2025-08-25T21:11:21Z,2025-08-25T21:11:17Z,main,41fd133af863006c199cd9f52b3d4cac66db4578
momosecurity,aswan,momosecurity/aswan,Python,copyleft,,,ok,https://github.com/momosecurity/aswan,LGPL-2.1,GNU Lesser General Public License v2.1,lgpl-2.1,Weak-copyleft,3031,False,False,2019-06-14T10:03:28Z,2025-08-20T09:33:21Z,2021-06-15T12:35:55Z,master,bcdfd7f16871dace6de3801d52fc7730f68fad30
freeipa,freeipa,freeipa/freeipa,Python,copyleft,,,ok,https://github.com/freeipa/freeipa,GPL-3.0,GNU General Public License v3.0,gpl-3.0,Copyleft,1114,False,False,2012-05-15T20:34:40Z,2025-08-26T14:51:33Z,2025-08-27T09:28:33Z,master,6069147e3bea92059849e0a8c1948a0f1c3c8425
